created_at,handle,mined_at,retweet_count,text,tweet_id
Wed Oct 23 19:01:02 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817952,3967,"It would be really great if the people within the Trump Administration, all well-meaning and good (I hope!), could… https://t.co/R0cbyiJHmb",1187081515051601920
Wed Oct 23 18:58:44 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817960,2132,"....Does anybody think this is fair? Even though there was no quid pro quo, I’m sure they would like to try. Worse than the Dems!",1187080935373713408
Wed Oct 23 18:58:41 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817961,3077,"Never Trumper Republican John Bellinger, represents Never Trumper Diplomat Bill Taylor (who I don’t know), in testi… https://t.co/sWQXL60oqG",1187080923961012228
Wed Oct 23 17:48:40 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817962,11152,"The Never Trumper Republicans, though on respirators with not many left, are in certain ways worse and more dangero… https://t.co/xYkUiEWRuN",1187063301731209220
Wed Oct 23 16:35:23 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817963,8762,Thank you General Mazloum for your kind words and courage. Please extend my warmest regards to the Kurdish people.… https://t.co/87Ai6xndRw,1187044861725286400
Wed Oct 23 16:06:00 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817965,6863,https://t.co/7Ud0WLyo4g,1187037466261446656
Wed Oct 23 12:40:13 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817966,19827,Where’s the Whistleblower?,1186985677176655872
Wed Oct 23 12:39:20 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817967,17724,Big success on the Turkey/Syria Border. Safe Zone created! Ceasefire has held and combat missions have ended. Kurds… https://t.co/GPmce2penO,1186985455058898945
Wed Oct 23 12:29:22 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817968,8995,....feel EMPOWERED. There’s a movement happening on these campuses like I’ve never seen before. When you have 3000… https://t.co/VK03WZAKr8,1186982949180317697
Wed Oct 23 12:29:22 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817969,8552,....Order a couple of months ago saying that any school that does not uphold the First Amendment Rights of its stud… https://t.co/4Eec07cqxN,1186982948404449280
Wed Oct 23 12:29:22 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817970,13734,Young campus Conservatives are flocking to Turning Point USA &amp; other Conservative speaker events all over the Count… https://t.co/Kcevkl2ayD,1186982946336624640
Wed Oct 23 11:36:27 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817971,16182,Republicans are going to fight harder than ever to win back the House because of what the Do Nothing Democrats have done to our Country!,1186969632944611335
Wed Oct 23 11:32:16 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817972,14384,Neither he (Taylor) or any other witness has provided testimony that the Ukrainians were aware that military aid wa… https://t.co/hWjKgcVDz2,1186968579125792768
Wed Oct 23 10:56:02 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817973,9679,It never ends. The Do Nothing Dems are terrible! https://t.co/l7Qk0WU8ML,1186959459878350848
Wed Oct 23 04:15:14 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817975,7384,Thank you Steve! https://t.co/ROfsFdSGZO,1186858593364172800
Wed Oct 23 04:10:38 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817976,9071,The Democrats Scam goes on and on! They Do Nothing! https://t.co/4ER1m6e39s,1186857437657214976
Wed Oct 23 04:08:35 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817977,9799,The Witch Hunt continues! https://t.co/pBzhZfJEYb,1186856923636948993
Wed Oct 23 04:07:07 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817978,9517,The Do Nothing Dems have nothing but time! https://t.co/g9wsBfk16W,1186856554055852035
Wed Oct 23 03:43:38 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817979,14275,"Wrong, never even discussed this with Kellyanne Conway or Steve Mnuchin. Just more Fake News! https://t.co/bgR8TnytjJ",1186850642901557248
Tue Oct 22 22:18:29 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817980,20775,"Good news seems to be happening with respect to Turkey, Syria and the Middle East. Further reports to come later!",1186768817822806016
Tue Oct 22 14:06:55 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817981,10397,Great Job Tim! https://t.co/WhgO67CfKP,1186645111154847746
Tue Oct 22 13:41:53 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817982,15502,“The Democrats are trying to draw out this inquiry because they don’t have the support. Donald Trump is guilty only… https://t.co/ehoKmcYJlV,1186638807984230403
Tue Oct 22 13:28:19 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817984,20182,"Can’t believe that Nervous Nancy Pelosi isn’t moving faster on USMCA. Her people want it, they don’t know why she i… https://t.co/RIjzWXlUGN",1186635396567961601
Tue Oct 22 11:57:09 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817985,21942,95% Approval Rating in the Republican Party. Thank you!,1186612453368651777
Tue Oct 22 11:54:36 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817986,17486,Thank you Republicans. 185 out of 185 present voted for “US” last night. Really good!,1186611810931236870
Tue Oct 22 11:52:28 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817987,37135,"So some day, if a Democrat becomes President and the Republicans win the House, even by a tiny margin, they can imp… https://t.co/Q4pOK3kZ4i",1186611272231636992
Tue Oct 22 11:37:04 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817988,11150,....@kilmeade   “I want to know about Hillary Clinton with the Dossier? I want to know if there was FISA abuse? We’… https://t.co/KO8XzDI81f,1186607396917002241
Tue Oct 22 11:37:03 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817989,14488,...A majority do not want him Impeached and removed from office. 94% of the people in these battleground states who… https://t.co/JHBVtBfAkr,1186607396090724353
Tue Oct 22 11:21:13 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817990,13484,"“I thought a very revealing poll was done by The New York Times. By about a 10 point margin, those in battleground… https://t.co/NMC18sMQ2d",1186603407769034752
Tue Oct 22 11:11:32 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817991,11519,"“The Ambassador to the European Union has already testified, he said there was no quid pro quo. He said the Preside… https://t.co/zpqcJgc4Xh",1186600971130015744
Tue Oct 22 04:33:26 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817993,10286,Congratulations to @JustinTrudeau on a wonderful and hard fought victory. Canada is well served. I look forward to… https://t.co/H3e0DSQgAP,1186500787922448384
Tue Oct 22 00:34:16 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817994,13491,Thank you Liz. Shows great Republican support! https://t.co/WsuTmv6Tfh,1186440600712814593
Tue Oct 22 00:30:49 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817995,8745,Thank you Dan and Kevin. Great Vote! https://t.co/MMJ5SanakG,1186439731237789696
Mon Oct 21 23:06:16 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817996,10697,Will be interviewed by @seanhannity tonight at 9:00 P.M. on @FoxNews. Enjoy!,1186418453202247684
Mon Oct 21 13:17:53 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817997,22591,"Doral in Miami would have been the best place to hold the G-7, and free, but too much heat from the Do Nothing Radi… https://t.co/THW5r9YzOG",1186270381491081218
Mon Oct 21 12:31:43 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817998,23808,"Censure (at least) Corrupt Adam Schiff! After what he got caught doing, any pol who does not so vote cannot be hone… https://t.co/9e3aXSBYYC",1186258762920792065
Mon Oct 21 12:25:26 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818000,17890,"Great new book by wonderful and very street smart author Dan Bongino, EXONERATED, THE FAILED TAKEDOWN OF PRESIDENT… https://t.co/YcSTyDGgjQ",1186257181689237504
Mon Oct 21 03:54:07 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818001,13902,https://t.co/oSn6amjZo4,1186128505316229121
Mon Oct 21 02:57:37 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818002,15573,https://t.co/R3Chppjx6S,1186114286642515969
Mon Oct 21 02:53:32 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818003,11619,https://t.co/6sKKniiOfE,1186113259780345857
Mon Oct 21 02:07:51 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818004,15268,A Great Democrat Scam! https://t.co/LbkVT7UvXX,1186101761368571904
Mon Oct 21 02:05:14 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818005,21857,Adam Schiff is a Corrupt Politician! https://t.co/16aSrqjwu2,1186101103676526592
Mon Oct 21 01:57:10 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818006,8301,Congratulations Barbara! https://t.co/0cYrjL1YOj,1186099074371596288
Mon Oct 21 01:48:35 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818007,10507,"“To the Democrats, Impeachment is partisan politics dressed up as principle.” @SteveHiltonx @FoxNews",1186096913520693248
Sun Oct 20 22:41:10 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818008,20916,"So interesting that, when I announced Trump National Doral in Miami would be used for the hosting of the G-7, and t… https://t.co/tDDMw6CPOd",1186049749989892105
Sun Oct 20 21:45:17 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818010,18898,"....fiction to Congress and the American People?  I demand his deposition. He is a fraud, just like the Russia Hoax… https://t.co/Hum7mHfNiV",1186035686396321793
Sun Oct 20 21:45:17 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818011,15536,....because their so-called story didn’t come even close to matching up with the exact transcript of the phone call… https://t.co/SUGMgGZeJ3,1186035685163257857
Sun Oct 20 21:45:17 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818012,23525,"This Scam going on right now by the Democrats against the Republican Party, and me, was all about a perfect phone c… https://t.co/nXPfrl25ag",1186035684525727744
Sun Oct 20 20:28:28 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818013,30662,"Pelosi is now leading a delegation of 9, including Corrupt Adam Schiff, to Jordan to check out Syria. She should fi… https://t.co/FBznZni7FF",1186016354572353536
Sun Oct 20 16:29:26 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818014,13741,https://t.co/dNfXkc8uUG,1185956197624619008
Sun Oct 20 16:29:14 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818015,13819,https://t.co/kNVQf6JdIL,1185956149008490496
Sun Oct 20 15:03:13 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818016,20478,“The ceasefire is holding up very nicely. There are some minor skirmishes that have ended quickly. New areas being… https://t.co/TzJkyag5JH,1185934502906007552
Sun Oct 20 12:44:26 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818018,19474,The WALL is making a very big difference. Even Dems in area are happy! https://t.co/NDzq2oIsHV,1185899575669919745
Sun Oct 20 03:26:35 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818019,16900,https://t.co/kNVQf6JdIL,1185759188040978432
Sun Oct 20 02:41:53 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818020,37341,"So now Crooked Hillary is at it again! She is calling Congresswoman Tulsi Gabbard “a Russian favorite,” and Jill St… https://t.co/qBeaGRueWS",1185747939257397248
Sun Oct 20 02:03:29 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818021,21016,Never give up. We are doing GREAT! We are WINNING! https://t.co/MKDn5WStFU,1185738277376184320
Sun Oct 20 01:52:46 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818022,17526,"....Therefore, based on both Media &amp; Democrat Crazed and Irrational Hostility, we will no longer consider Trump Nat… https://t.co/qJPYSwIfGP",1185735579327193093
Sun Oct 20 01:28:46 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818023,13728,https://t.co/dNfXkc8uUG,1185729537230938112
Sun Oct 20 01:18:24 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818024,21201,.....its own 50 to 70 unit building. Would set up better than other alternatives. I announced that I would be willi… https://t.co/F3PB9Xzseu,1185726931611852802
Sun Oct 20 01:18:24 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818026,21000,"I thought I was doing something very good for our Country by using Trump National Doral, in Miami, for hosting the… https://t.co/lfJvhCW1v0",1185726930764611589
Sat Oct 19 23:28:01 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818027,20337,“The President never told me to withhold any money until the Ukrainians did anything related to the server. The onl… https://t.co/1Zivgzpe69,1185699151708901376
Sat Oct 19 22:26:59 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818028,8845,See you there! https://t.co/msBoZ1TbNX,1185683791639187459
Sat Oct 19 21:15:17 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818029,13737,https://t.co/yvsGhK5N9X,1185665748800299009
Sat Oct 19 19:47:51 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818030,21121,"Crooked Hillary Clinton just called the respected environmentalist and Green Party candidate, Jill Stein, a “Russia… https://t.co/X4THYpEAJw",1185643744932106240
Sat Oct 19 19:23:00 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818032,21895,It is ONLY about this! https://t.co/ZB5xPDKs4b,1185637489471565824
Sat Oct 19 19:16:00 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818033,9760,"Just another FAKE SUPPRESSION POLL, this time from @FoxNews, of course! https://t.co/x8lYVE7QCo",1185635727645839363
Sat Oct 19 17:35:40 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818034,5948,.@RepMcClintock  Thank you Tom. Great interview on @TeamCavuto! @FoxNews,1185610478325784577
Sat Oct 19 17:23:22 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818035,6951,A Great Book by Kimberley Strassel! https://t.co/TOQcUDmnAR,1185607384963661825
Sat Oct 19 17:01:56 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818036,15817,“I don’t see anything that constitutes an Impeachable offense - Nothing here rises to the level of Impeachment. The… https://t.co/9WDifJx3yZ,1185601988811284483
Sat Oct 19 15:58:49 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818037,10650,Thank you very much. Working hard! https://t.co/z8dgzQxkVC,1185586107653804033
Sat Oct 19 15:57:54 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818038,12609,I agree! https://t.co/mxKKg98NvO,1185585875318644737
Sat Oct 19 15:35:12 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818040,10501,Texas is great! https://t.co/aJSyPSHJfw,1185580161305059328
Sat Oct 19 15:23:34 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818041,15638,There has never been a greater fraud on Congress. Shifty Schiff is Corrupt. Go Andy! https://t.co/yw57NhKpG2,1185577234641379328
Sat Oct 19 15:13:27 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818042,17740,"Such a disgrace that the Do Nothing Democrats are doing just as their name suggests, Doing Nothing! USMCA anyone?",1185574689156059141
Sat Oct 19 12:32:36 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818043,30151,#StopTheCoup,1185534210196627456
Sat Oct 19 02:59:13 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818044,34419,"Susan Rice, who was a disaster to President Obama as National Security Advisor, is now telling us her opinion on wh… https://t.co/1IrtH5McCg",1185389914470473729
Sat Oct 19 02:16:38 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818045,17356,"Pelosi and Impeachment - There have already been 3 Votes, and they’ve all failed miserably. Here’s why there may no… https://t.co/Phv5Jtemmt",1185379196203421696
Sat Oct 19 02:02:46 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818047,10602,"Congressman Michael McCaul, “Schiff’s inquiry defies Democracy.” @FoxNews @seanhannity",1185375708559876098
Sat Oct 19 01:57:33 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818048,18447,"“Because the House has already voted against the Impeachment Proceeding, the current inquiry is totally invalid. Th… https://t.co/PZIzcO2WiE",1185374394350215169
Sat Oct 19 01:28:29 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818049,30234,Corrupt Congressman Adam Schiff is angry that Ambassadors that he thought would be good for his fraudulent Witch Hu… https://t.co/8a8f8mqZb6,1185367080780156930
Fri Oct 18 23:37:33 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818050,25094,REPUBLICANS MUST STICK TOGETHER AND FIGHT! https://t.co/chnSNURfFx,1185339160858648576
Fri Oct 18 23:29:05 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818062,18478,https://t.co/Q2ar4LZGM4,1185337032429789184
Fri Oct 18 23:25:50 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818063,19735,"Think of how many lives we saved in Syria and Turkey by getting a ceasefire yesterday. Thousands and thousands, and maybe many more!",1185336214049689600
Fri Oct 18 22:39:11 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.824466,16742,https://t.co/p5imhMJqS1,1185324474775887874
Fri Oct 18 19:34:21 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.824474,10736,"....He is also my friend! At the same time, I am pleased to nominate Deputy Secretary Dan Brouillette to be the new… https://t.co/Pcc3G5sxtR",1185277957436248065
Fri Oct 18 19:34:20 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.824475,13544,I want to thank Secretary of Energy Rick Perry for the outstanding job he has done. He will be leaving at the end o… https://t.co/t1P7C4XOq1,1185277956551254018
Fri Oct 18 15:51:42 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.824477,33492,"Can you believe I am doing this important work for our Country, and have to deal with Corrupt Adam Schiff and the D… https://t.co/a9HvmsXW6O",1185221926991609862
Fri Oct 18 15:46:14 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.824478,17576,DEFEAT TERRORISM! https://t.co/8WbnLPgWIK,1185220552254017537
Fri Oct 18 15:42:37 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.824480,14323,"....I have just been notified that some European Nations are now willing, for the first time, to take the ISIS Figh… https://t.co/2x0Hbvck3H",1185219643432230913
Fri Oct 18 15:42:37 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.824482,11987,".....this thinking years ago. Instead, it was always held together with very weak bandaids, &amp; in an artificial mann… https://t.co/xfVVvkP3Jt",1185219642668867585
Fri Oct 18 15:42:37 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.824484,16581,Just spoke to President @RTErdogan of Turkey. He told me there was minor sniper and mortar fire that was quickly el… https://t.co/QPkgIfK4F4,1185219641972539392
Fri Oct 18 13:09:56 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.824485,12991,The USA! https://t.co/Zdj3Lyo76H,1185181219086127105
Fri Oct 18 03:39:18 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.824487,31145,"Democrats are now the party of high taxes, high crime, open borders, late-term abortion, socialism, and blatant cor… https://t.co/tSNbCqhzVE",1185037614685904896
Fri Oct 18 03:06:57 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.824488,23064,"Tonight, we forcefully condemn the blatant corruption of the Democrat Party, the Fake News Media, and the rogue bur… https://t.co/LnlkBTfhUx",1185029472132698113
Fri Oct 18 02:57:07 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.824490,23395,"The radical left tolerates no dissent, it permits no opposition, it accepts no compromise, and it has absolutely no… https://t.co/J5ruRNe7G1",1185026994993451008
Fri Oct 18 02:26:39 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.824491,20122,"Thank you Dallas, Texas - I love you! #TrumpRallyDallas #KAG2020 https://t.co/meWpesDYeM",1185019331018665985
Fri Oct 18 00:21:37 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.824492,23355,"Just arrived at the American Airlines Center in Dallas, Texas. Will be out shortly as we wait for more of you to ge… https://t.co/ef6YyOIG3p",1184987864125321216
Thu Oct 17 23:22:43 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072729,13780,"See you soon Dallas, Texas! https://t.co/Sg6xtp1vqQ",1184973040150614016
Thu Oct 17 18:13:15 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072738,37081,"This is a great day for civilization. I am proud of the United States for sticking by me in following a necessary,… https://t.co/4dKcAXxcHj",1184895160871571456
Thu Oct 17 18:03:25 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072739,23171,This deal could NEVER have been made 3 days ago. There needed to be some “tough” love in order to get it done. Grea… https://t.co/nkpY0r5ti2,1184892687587012608
Thu Oct 17 17:29:37 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072740,26710,Great news out of Turkey. News Conference shortly with @VP and @SecPompeo. Thank you to @RTErdogan. Millions of lives will be saved!,1184884179751731200
Thu Oct 17 17:02:43 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072741,17956,"This number, based on the Economy &amp; how well our Country is doing, would potentially be 75% if not for the Fake New… https://t.co/wREm2kFsaC",1184877410946187264
Thu Oct 17 15:07:46 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072742,13551,As the Witch Hunt continues! https://t.co/klvvwSXq7M,1184848482844250113
Thu Oct 17 13:14:49 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072744,15640,The Greatest Witch Hunt in American History! https://t.co/sPnloffJMT,1184820057001598976
Thu Oct 17 12:54:55 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072745,17259,My warmest condolences to the family and many friends of Congressman Elijah Cummings. I got to see first hand the s… https://t.co/IVXZYgOkyg,1184815052546809862
Thu Oct 17 11:54:12 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072746,16447,This is the real story. Thank you Jim! https://t.co/VqJrsUJdiX,1184799768964456448
Thu Oct 17 04:39:26 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072747,38764,I am the only person who can fight for the safety of our troops &amp; bring them home from the ridiculous &amp; costly Endl… https://t.co/Myfg3mkPGS,1184690356027297793
Thu Oct 17 04:29:31 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072749,43604,"“About 500,000 human beings were killed in Syria while Barack Obama was president &amp; leading for a “political settle… https://t.co/77ONloetaY",1184687862090010624
Thu Oct 17 02:26:47 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072750,21499,https://t.co/ZtCSrCqJcN,1184656977638711296
Thu Oct 17 01:14:36 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072751,31778,"Hope all House Republicans, and honest House Democrats, will vote to CENSURE Rep. Adam Schiff tomorrow for his braz… https://t.co/UTBkc10nhf",1184638812150009858
Thu Oct 17 01:11:05 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072752,17446,"Years of BAD GOVERNMENT, such a sorry thing to see! https://t.co/H1r2Be2YS6",1184637926212341760
Thu Oct 17 00:58:22 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072753,27828,"“What has happened here with the Anthony Wiener laptop, the Server, all of the Emails between Huma Abedin and Hilla… https://t.co/ELyAWDQbdb",1184634725677314050
Thu Oct 17 00:44:39 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072754,21195,"THANK YOU you Dallas, Texas. See you tomorrow night at the American Airlines Center! #TRUMP2020 https://t.co/fbtzlbroQi",1184631273454817280
Thu Oct 17 00:12:38 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072755,18676,“This President is the most patriotic President I’ve seen in many years. He is going to do what is good for America… https://t.co/2JbKc2WqXK,1184623216742014977
Thu Oct 17 00:00:40 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072757,48831,"Nancy Pelosi needs help fast! There is either something wrong with her “upstairs,” or she just plain doesn’t like o… https://t.co/X481eoECXa",1184620202480193537
Wed Oct 16 22:42:40 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072758,18264,"The Do Nothing Democrats, Pelosi and Schumer stormed out of the Cabinet Room! https://t.co/hmP4FNhemv",1184600576245583873
Wed Oct 16 22:29:35 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072759,31051,Nervous Nancy's unhinged meltdown! https://t.co/RDeUI7sfe7,1184597281808498688
Wed Oct 16 22:21:51 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072760,29771,Do you think they like me? https://t.co/TDmUnJ8HtF,1184595335794036737
Wed Oct 16 22:19:13 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072761,22230,"I’m fighting for the American people, but the Democrats’ sole focus is fighting against ME with their fraudulent Wi… https://t.co/8P09w45uGC",1184594674541121537
Wed Oct 16 21:17:07 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072762,45859,FAKE NEWS! https://t.co/ta8ii8yetP,1184579045138337794
Wed Oct 16 21:08:16 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072763,17605,"THANK YOU, WORKING HARD! https://t.co/sNUppjB4Xm",1184576819309228034
Wed Oct 16 19:33:24 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072765,14108,https://t.co/O8E3i8kJwS,1184552942545920005
Wed Oct 16 18:44:06 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072766,20275,"Guatemala, Honduras &amp; El Salvador have all signed historic Asylum Cooperation Agreements and are working to end the… https://t.co/yD17W9yoC2",1184540536134406144
